Date,Open,High,Low,Close,Volume
2022-02-10,70.54,70.65,69.2,69.75,2499973
2022-02-11,69.01,75.36,68.65,74.44,7685106
2022-02-14,71.97,74.98,71.74,74.31,6449171
2022-02-15,74.15,75.46,73.45,75.38,4255754
2022-02-16,75.49,77.42,75.2,75.82,3338076
2022-02-17,76.94,77.9,75.47,76.06,3129408
2022-02-18,76.51,77.65,75.25,75.59,2876383
2022-02-21,76.64,77.07,73.81,74.03,3466863
2022-02-22,71.48,74.21,71.1,73.22,3938250
2022-02-23,74.3,75.25,72.94,73.57,3345429
2022-02-24,69,71.33,67.85,68.79,8297015
2022-02-25,70.46,72.1,68.35,72.06,6292551
2022-02-28,69.9,70.6,68.17,70.5,4369828
2022-03-01,69.5,70.49,66.32,66.44,6811103
2022-03-02,65.2,65.33,63.05,64.06,8133642
2022-03-03,64,64.41,60,60.21,6123312
2022-03-04,58.85,60.09,56.81,58,9611532
2022-03-07,55.22,59.45,54.67,57.39,8645172
2022-03-08,56.44,58.7,56.43,57,6732058
2022-03-09,59.14,61.36,58.15,61.36,6946066
2022-03-10,61.36,61.81,57.33,59.09,6757062
2022-03-11,59.36,61.62,58.06,58.59,6157828
2022-03-14,60.16,61.48,59.68,60.76,4719598
2022-03-15,60.39,62.85,59.23,62.14,5067779
2022-03-16,64.31,66.08,63.25,65.26,6129054
2022-03-17,65.8,65.91,63.49,64,4486444
2022-03-18,63.87,64.98,62.21,62.63,8469566
2022-03-21,63.02,63.92,62.53,63.32,2621597
2022-03-22,63.78,64.93,63.1,64.16,3027640
2022-03-23,64.72,64.83,62.78,63.32,2832496
2022-03-24,63.35,64.33,62.47,63.12,2963436
2022-03-25,63.32,64.1,62.51,63.21,2499241
2022-03-28,63.39,65.23,63.3,63.91,2760387
2022-03-29,65.11,68.16,64.66,66.85,4830793
2022-03-30,66.43,66.93,64.95,65.35,3326372
2022-03-31,65.8,65.97,63.4,63.81,4179264
2022-04-01,64.01,64.76,63.31,63.49,2848350
2022-04-04,63.99,64.54,62.81,64.26,2538008
2022-04-05,64.49,64.82,62.62,62.96,3425810
2022-04-06,62.7,62.95,60.62,62.23,4539402
